Series id,Year,Period,Value
LNU04032233Q,2000,Q01,2.9
LNU04032233Q,2000,Q02,3.3
LNU04032233Q,2000,Q03,3.2
LNU04032233Q,2000,Q04,3.2
LNU04032233Q,2001,Q01,4.4
LNU04032233Q,2001,Q02,4.6
LNU04032233Q,2001,Q03,5.6
LNU04032233Q,2001,Q04,6.4
LNU04032233Q,2002,Q01,7.6
LNU04032233Q,2002,Q02,7
LNU04032233Q,2002,Q03,6.6
LNU04032233Q,2002,Q04,6.5
LNU04032233Q,2003,Q01,7.1
LNU04032233Q,2003,Q02,7.2
LNU04032233Q,2003,Q03,7.2
LNU04032233Q,2003,Q04,6.1
LNU04032233Q,2004,Q01,6.4
LNU04032233Q,2004,Q02,5.3
LNU04032233Q,2004,Q03,5.3
LNU04032233Q,2004,Q04,5
LNU04032233Q,2005,Q01,5
LNU04032233Q,2005,Q02,4.2
LNU04032233Q,2005,Q03,4.7
LNU04032233Q,2005,Q04,4.5
LNU04032233Q,2006,Q01,4.1
LNU04032233Q,2006,Q02,3.6
LNU04032233Q,2006,Q03,3.9
LNU04032233Q,2006,Q04,3.8
LNU04032233Q,2007,Q01,4.7
LNU04032233Q,2007,Q02,4.2
LNU04032233Q,2007,Q03,3.6
LNU04032233Q,2007,Q04,4.2
LNU04032233Q,2008,Q01,4.6
LNU04032233Q,2008,Q02,5.1
LNU04032233Q,2008,Q03,6
LNU04032233Q,2008,Q04,6.9
LNU04032233Q,2009,Q01,12.1
LNU04032233Q,2009,Q02,13.3
LNU04032233Q,2009,Q03,13.3
LNU04032233Q,2009,Q04,13
LNU04032233Q,2010,Q01,13.8
LNU04032233Q,2010,Q02,10.9
LNU04032233Q,2010,Q03,10.1
LNU04032233Q,2010,Q04,10.2
LNU04032233Q,2011,Q01,10.1
LNU04032233Q,2011,Q02,9.7
LNU04032233Q,2011,Q03,9
LNU04032233Q,2011,Q04,8
LNU04032233Q,2012,Q01,7.9
LNU04032233Q,2012,Q02,6.8
LNU04032233Q,2012,Q03,7.1
LNU04032233Q,2012,Q04,6.9
LNU04032233Q,2013,Q01,6.8
LNU04032233Q,2013,Q02,6.3
LNU04032233Q,2013,Q03,6
LNU04032233Q,2013,Q04,6
LNU04032233Q,2014,Q01,4.9
LNU04032233Q,2014,Q02,4.6
LNU04032233Q,2014,Q03,5
LNU04032233Q,2014,Q04,4.2
LNU04032233Q,2015,Q01,4.8
LNU04032233Q,2015,Q02,3.9
LNU04032233Q,2015,Q03,4
LNU04032233Q,2015,Q04,3.9
LNU04032233Q,2016,Q01,4.4
LNU04032233Q,2016,Q02,4.2
LNU04032233Q,2016,Q03,4.3
LNU04032233Q,2016,Q04,3.8
LNU04032233Q,2017,Q01,4.4
LNU04032233Q,2017,Q02,3.5
LNU04032233Q,2017,Q03,3.9
LNU04032233Q,2017,Q04,2.9
LNU04032233Q,2018,Q01,3.3
LNU04032233Q,2018,Q02,3.1
LNU04032233Q,2018,Q03,3.1
LNU04032233Q,2018,Q04,2.5
LNU04032233Q,2019,Q01,2.8
LNU04032233Q,2019,Q02,2.6
LNU04032233Q,2019,Q03,2.8
LNU04032233Q,2019,Q04,2.8
LNU04032233Q,2020,Q01,3.4
LNU04032233Q,2020,Q02,12.5
LNU04032233Q,2020,Q03,6.9
LNU04032233Q,2020,Q04,4.2
LNU04032233Q,2021,Q01,4.4
LNU04032233Q,2021,Q02,5.4
LNU04032233Q,2021,Q03,3.7
LNU04032233Q,2021,Q04,2.9
LNU04032233Q,2022,Q01,3.3
LNU04032233Q,2022,Q02,3
LNU04032233Q,2022,Q03,2.7
LNU04032233Q,2022,Q04,2.6
LNU04032233Q,2023,Q01,2.5
LNU04032233Q,2023,Q02,2.4
LNU04032233Q,2023,Q03,2.6
LNU04032233Q,2023,Q04,2.7
LNU04032233Q,2024,Q01,2.9
LNU04032233Q,2024,Q02,2.6
